move_number,move_san,fen,main_evaluation,main_evaluation_flipped,isolated,isolated_flipped,opposed,opposed_flipped,rank,rank_flipped,file,file_flipped,phalanx,phalanx_flipped,supported,supported_flipped,backward,backward_flipped,doubled,doubled_flipped,connected,connected_flipped,middle_game_evaluation,middle_game_evaluation_flipped,end_game_evaluation,end_game_evaluation_flipped,scale_factor,scale_factor_flipped,phase,phase_flipped,imbalance,imbalance_flipped,bishop_count,bishop_count_flipped,bishop_pair,bishop_pair_flipped,pinned_direction,pinned_direction_flipped,mobility,mobility_flipped,mobility_area,mobility_area_flipped,mobility_bonus,mobility_bonus_flipped,knight_attack,knight_attack_flipped,bishop_xray_attack,bishop_xray_attack_flipped,rook_xray_attack,rook_xray_attack_flipped,queen_attack,queen_attack_flipped,outpost,outpost_flipped,outpost_square,outpost_square_flipped,reachable_outpost,reachable_outpost_flipped,minor_behind_pawn,minor_behind_pawn_flipped,bishop_pawns,bishop_pawns_flipped,rook_on_file,rook_on_file_flipped,trapped_rook,trapped_rook_flipped,weak_queen,weak_queen_flipped,space_area,space_area_flipped,pawn_attack,pawn_attack_flipped,king_attack,king_attack_flipped,attack,attack_flipped,non_pawn_material,non_pawn_material_flipped,safe_pawn,safe_pawn_flipped,threat_safe_pawn,threat_safe_pawn_flipped,weak_enemies,weak_enemies_flipped,minor_threat,minor_threat_flipped,rook_threat,rook_threat_flipped,hanging,hanging_flipped,king_threat,king_threat_flipped,pawn_push_threat,pawn_push_threat_flipped,candidate_passed,candidate_passed_flipped,king_proximity,king_proximity_flipped,passed_block,passed_block_flipped,passed_file,passed_file_flipped,passed_rank,passed_rank_flipped,pawnless_flank,pawnless_flank_flipped,strength_square,strength_square_flipped,storm_square,storm_square_flipped,shelter_strength,shelter_strength_flipped,shelter_storm,shelter_storm_flipped,king_pawn_distance,king_pawn_distance_flipped,check_attack,check_attack_flipped,safe_check,safe_check_flipped,queen_count,queen_count_flipped,king_attackers_count,king_attackers_count_flipped,king_attackers_weight,king_attackers_weight_flipped,king_attacks,king_attacks_flipped,weak_bonus,weak_bonus_flipped,weak_squares,weak_squares_flipped,winnable,winnable_flipped,unsafe_checks,unsafe_checks_flipped,tempo,tempo_flipped,pawn_count,pawn_count_flipped,connected_bonus,connected_bonus_flipped,mobility_mg,mobility_mg_flipped,mobility_eg,mobility_eg_flipped,piece_value_bonus,piece_value_bonus_flipped,psqt_bonus,psqt_bonus_flipped,piece_value_mg,piece_value_mg_flipped,piece_value_eg,piece_value_eg_flipped,psqt_mg,psqt_mg_flipped,psqt_eg,psqt_eg_flipped,king_protector,king_protector_flipped,knight_count,knight_count_flipped,imbalance_total,imbalance_total_flipped,weak_unopposed_pawn,weak_unopposed_pawn_flipped,rook_count,rook_count_flipped,opposite_bishops,opposite_bishops_flipped,king_distance,king_distance_flipped,long_diagonal_bishop,long_diagonal_bishop_flipped,queen_attack_diagonal,queen_attack_diagonal_flipped,pinned,pinned_flipped,king_ring,king_ring_flipped,slider_on_queen,slider_on_queen_flipped,knight_on_queen,knight_on_queen_flipped,outpost_total,outpost_total_flipped,restricted,restricted_flipped,knight_defender,knight_defender_flipped,endgame_shelter,endgame_shelter_flipped,space,space_flipped,weak_lever,weak_lever_flipped,blockers_for_king,blockers_for_king_flipped,rook_on_queen_file,rook_on_queen_file_flipped,winnable_total_mg,winnable_total_mg_flipped,winnable_total_eg,winnable_total_eg_flipped,flank_attack,flank_attack_flipped,flank_defense,flank_defense_flipped,king_danger,king_danger_flipped,king_mg,king_mg_flipped,king_eg,king_eg_flipped,weak_queen_protection,weak_queen_protection_flipped,threats_mg,threats_mg_flipped,threats_eg,threats_eg_flipped,passed_leverable,passed_leverable_flipped,passed_mg,passed_mg_flipped,passed_eg,passed_eg_flipped,piece_count,piece_count_flipped,bishop_xray_pawns,bishop_xray_pawns_flipped,rook_on_king_ring,rook_on_king_ring_flipped,bishop_on_king_ring,bishop_on_king_ring_flipped,queen_infiltration,queen_infiltration_flipped,pieces_mg,pieces_mg_flipped,pieces_eg,pieces_eg_flipped,blocked,blocked_flipped,pawn_attacks_span,pawn_attacks_span_flipped,doubled_isolated,doubled_isolated_flipped,pawns_mg,pawns_mg_flipped,pawns_eg,pawns_eg_flipped,rule50,rule50_flipped
11,a4,rnbqkb1r/p1p2ppp/5n2/1p2N3/P1pP4/4P3/1P3PPP/RNBQKB1R b KQkq - 0 6,6,-6,0,0,5,5,288,288,288,288,3,3,2,1,1,0,0,0,5,4,34,-34,34,-34,64,64,128,128,11398,11398,2,2,1438,1438,0,0,23,27,47,46,12,104,11,11,7,13,7,5,12,9,0,0,1,4,0,0,2,2,7,14,0,0,1,1,0,0,9,8,12,12,5,5,54,55,8302,8302,7,6,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1264,-2238,2058,2483,222,222,56,56,1,1,0,1,0,1,1,1,1,1,81,0,2,0,1,0,23,24,16,16,0,0,-28,28,7,7,124,121,12,104,89,133,9170,9170,155,36,9170,9170,10422,10422,155,36,-85,-130,10,8,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,3,0,0,9,9,0,1,2,0,0,0,8,7,1,1,5,5,81,72,0,0,0,0,0,0,0,0,16,-16,10,8,18,17,0,506,-86,-40,-11,20,0,0,162,109,146,67,0,0,0,0,0,0,15,15,2,0,0,0,0,0,0,0,-122,-119,-156,-177,0,0,44,39,0,0,115,121,-22,30,0,0
12,Bb4+,rnbqk2r/p1p2ppp/5n2/1p2N3/PbpP4/4P3/1P3PPP/RNBQKB1R w KQkq - 1 7,-15,15,0,0,5,5,288,288,288,288,3,3,2,1,1,0,0,0,5,4,-44,44,-35,35,64,64,128,128,11398,11398,2,2,1438,1438,0,0,23,30,47,46,12,133,11,11,7,16,7,6,12,9,0,0,1,4,0,0,2,1,7,14,0,0,1,1,0,0,8,8,12,12,5,5,54,59,8302,8302,7,6,0,0,2,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1264,-2238,2058,2483,222,222,56,56,1,1,0,2,0,0,1,1,1,2,81,52,2,1,1,1,20,24,16,16,0,2,28,-28,7,7,124,121,12,133,89,174,9170,9170,155,73,9170,9170,10422,10422,155,73,-85,-94,10,11,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,3,0,0,9,9,0,1,2,0,0,0,11,8,1,1,5,5,72,72,0,0,0,0,0,0,0,0,-16,16,10,11,18,17,0,565,-86,-1,-11,24,0,1,183,130,167,74,0,0,0,0,0,0,15,15,2,0,0,0,0,0,0,0,-122,-155,-156,-207,0,0,44,39,0,0,115,121,-22,30,1,1
13,Bd2,rnbqk2r/p1p2ppp/5n2/1p2N3/PbpP4/4P3/1P1B1PPP/RN1QKB1R b KQkq - 2 7,112,-112,0,0,5,5,288,288,288,288,3,3,2,1,1,0,0,0,5,4,143,-143,111,-111,64,64,128,128,11398,11398,2,2,1438,1438,4,0,22,29,46,46,37,129,11,11,7,15,7,6,11,9,0,0,1,4,0,0,2,1,7,14,0,0,1,1,0,0,8,8,12,12,5,5,53,58,8302,8302,7,6,0,0,3,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1264,-2238,2058,2483,222,222,56,56,1,1,0,1,0,0,1,1,1,2,81,52,2,1,1,0,21,23,16,16,0,1,-28,28,7,7,124,121,37,129,91,162,9170,9170,167,73,9170,9170,10422,10422,167,73,-47,-94,9,11,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,3,1,0,9,9,0,1,2,0,0,0,10,7,1,1,5,5,72,72,0,0,0,1,0,0,0,0,16,-16,9,10,18,17,0,293,-94,-66,-11,7,0,0,322,186,252,123,0,0,0,0,0,0,15,15,2,0,0,0,0,0,0,0,-116,-155,-147,-207,0,0,44,39,0,0,115,121,-22,30,2,2
14,Bxd2+,rnbqk2r/p1p2ppp/5n2/1p2N3/P1pP4/4P3/1P1b1PPP/RN1QKB1R w KQkq - 0 8,-668,668,0,0,5,5,288,288,288,288,3,3,2,1,1,0,0,0,5,4,-696,696,-753,753,64,64,128,128,9618,10732,1,2,0,1438,0,0,22,28,47,46,32,116,11,11,4,13,7,6,11,9,0,0,1,4,0,0,2,1,2,14,0,0,1,1,0,0,9,8,12,12,5,5,50,56,7477,8302,7,6,0,0,3,1,4,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1264,-2238,2058,2483,222,222,56,56,1,1,0,0,0,0,1,1,1,2,81,52,2,0,1,1,20,26,16,16,0,0,28,-28,7,7,124,121,32,116,112,144,8345,9170,163,44,8345,9170,9507,10422,163,44,-48,-92,8,13,2,2,-159,159,0,0,2,2,0,0,254,254,0,0,7,3,0,0,9,9,0,1,2,0,0,0,10,9,1,1,5,5,68,72,0,0,0,0,0,0,0,0,-16,16,9,11,17,17,0,163,-94,-72,-11,-1,0,1,346,137,341,81,0,0,0,0,0,0,14,15,2,1,0,0,0,0,0,0,-95,-171,-103,-230,0,0,44,39,0,0,115,121,-22,30,0,0
15,Nxd2,rnbqk2r/p1p2ppp/5n2/1p2N3/P1pP4/4P3/1P1N1PPP/R2QKB1R b KQkq - 0 8,238,-238,0,0,5,5,288,288,288,288,3,3,2,1,1,0,0,0,5,4,266,-266,267,-267,64,64,124,124,9011,9011,1,1,0,0,0,0,25,24,47,46,54,78,14,11,4,7,10,6,12,9,0,0,1,4,0,0,1,1,2,8,0,0,1,1,0,0,9,8,12,12,5,5,57,50,7477,7477,7,6,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1264,-2238,2058,2483,222,222,56,56,1,1,0,0,0,0,1,1,1,1,81,0,2,0,1,0,25,20,16,16,0,0,-28,28,7,7,124,121,54,78,182,120,8345,8345,240,44,8345,8345,9507,9507,240,44,25,-93,6,7,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,3,0,0,9,9,0,1,2,0,0,0,7,7,1,1,5,5,68,60,0,0,0,0,0,0,0,0,16,-16,10,7,17,18,162,0,-80,-110,-1,-11,0,0,155,109,139,67,0,0,0,0,0,0,14,14,2,0,0,0,0,0,0,0,-97,-113,-88,-129,0,0,44,39,0,0,115,121,-22,30,0,0
16,c6,rnbqk2r/p4ppp/2p2n2/1p2N3/P1pP4/4P3/1P1N1PPP/R2QKB1R w KQkq - 0 9,214,-214,0,0,5,5,288,288,288,288,3,3,2,2,1,1,0,0,5,5,182,-182,319,-319,64,64,124,124,9011,9011,1,1,0,0,0,0,25,26,46,46,54,100,14,11,4,7,10,6,12,11,0,0,2,4,0,0,1,0,2,10,0,0,1,1,0,0,9,9,12,12,5,5,57,52,7477,7477,7,7,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1716,-2238,2058,2451,222,222,56,56,1,1,0,0,0,0,1,1,1,1,81,0,2,0,1,0,24,21,16,16,0,0,28,-28,7,7,124,154,54,100,182,142,8345,8345,240,45,8345,8345,9507,9507,240,45,25,-113,6,7,2,2,0,0,0,1,2,2,0,0,254,254,0,0,7,5,0,0,9,9,0,1,2,0,0,0,7,7,1,1,5,5,68,68,0,0,0,0,0,0,0,0,16,-16,10,7,17,18,140,0,-82,-110,-3,-11,0,0,91,109,135,67,0,0,0,0,0,0,14,14,2,0,0,0,0,0,0,0,-97,-137,-88,-146,0,0,42,39,0,0,115,132,-22,-13,0,0
17,axb5,rnbqk2r/p4ppp/2p2n2/1P2N3/2pP4/4P3/1P1N1PPP/R2QKB1R b KQkq - 0 9,697,-697,2,3,3,3,288,288,288,288,3,3,2,0,2,3,0,0,5,3,721,-721,874,-874,64,64,124,124,8642,7883,1,1,0,0,0,0,33,24,48,46,157,55,14,11,4,7,13,6,12,11,0,0,4,3,2,0,1,0,2,8,1,0,1,1,0,0,10,9,13,10,5,5,61,50,7477,7477,6,5,0,0,4,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1608,-2238,2708,2586,222,222,56,56,1,1,0,0,0,0,1,1,1,1,81,0,2,0,1,0,27,19,4,4,0,0,-28,28,7,6,124,42,157,55,278,105,8345,8221,244,68,8345,8221,9507,9301,244,68,24,-111,6,7,2,2,47,-47,2,3,2,2,0,0,254,254,0,0,7,5,0,0,9,9,0,1,2,0,1,0,10,8,1,1,5,5,75,56,0,0,0,0,0,0,0,0,4,-4,11,6,16,18,300,0,-57,-118,7,-11,0,0,189,185,270,110,0,0,0,0,0,0,14,13,1,0,0,0,0,0,0,0,-43,-131,-54,-132,0,0,29,36,0,0,88,-12,-82,-135,0,0
18,cxb5,rnbqk2r/p4ppp/5n2/1p2N3/2pP4/4P3/1P1N1PPP/R2QKB1R w KQkq - 0 10,258,-258,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,227,-227,328,-328,64,64,124,124,7514,7514,1,1,0,0,0,0,28,27,48,48,82,108,14,11,4,7,13,6,12,11,0,0,2,4,0,0,1,0,1,8,1,0,1,1,0,0,9,10,11,10,5,5,59,50,7477,7477,6,6,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,10,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,0,0,0,0,1,1,1,1,81,0,2,0,1,0,25,18,1,1,0,0,28,-28,6,6,124,121,82,108,233,157,8221,8221,244,34,8221,8221,9301,9301,244,34,19,-103,6,7,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,5,0,0,9,9,0,1,2,0,0,0,9,10,1,1,5,5,56,62,0,0,0,0,0,0,0,0,1,-1,10,7,17,18,160,0,-80,-110,-1,-11,0,0,103,130,163,88,1,0,-8,0,29,0,13,13,2,0,0,0,0,0,0,0,-75,-131,-74,-132,0,0,41,35,0,0,119,121,-13,30,0,0
19,Qf3,rnbqk2r/p4ppp/5n2/1p2N3/2pP4/4PQ2/1P1N1PPP/R3KB1R b KQkq - 1 10,328,-328,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,360,-360,387,-387,64,64,124,124,7514,7514,1,1,0,0,0,0,31,27,48,48,87,108,14,11,4,7,13,6,17,11,0,0,2,4,0,0,1,0,2,8,1,0,1,1,0,0,9,10,11,10,5,5,64,50,7477,7477,6,6,0,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,10,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,1,91,0,2,0,1,0,24,18,1,1,0,0,-28,28,6,6,124,121,87,108,250,157,8221,8221,253,34,8221,8221,9301,9301,253,34,36,-103,6,7,2,2,0,0,0,0,2,2,0,0,254,254,0,0,10,5,0,0,9,9,0,1,2,0,0,0,11,14,1,1,5,5,56,62,0,0,0,0,0,0,0,0,1,-1,16,7,17,19,325,0,-13,-110,9,-11,0,0,186,158,213,116,1,0,-8,0,29,0,13,13,2,0,0,0,0,0,0,0,-78,-131,-81,-132,0,0,41,35,0,0,119,121,-13,30,1,1
20,Qd5,rnb1k2r/p4ppp/5n2/1p1qN3/2pP4/4PQ2/1P1N1PPP/R3KB1R w KQkq - 2 11,235,-235,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,212,-212,224,-224,64,64,124,124,7514,7514,1,1,0,0,0,0,28,27,47,48,85,110,14,11,4,7,13,6,14,15,0,0,2,4,0,0,1,0,3,8,1,0,1,1,0,0,9,10,11,10,5,5,61,54,7477,7477,6,6,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,0,0,0,0,1,1,2,2,91,10,2,0,0,0,22,18,1,1,0,0,28,-28,6,6,124,121,85,110,219,151,8221,8221,253,38,8221,8221,9301,9301,253,38,36,-53,6,7,2,2,0,0,0,0,2,2,0,0,254,254,0,0,7,8,0,0,9,9,0,1,0,0,0,0,11,15,1,1,5,5,56,62,0,0,0,0,0,0,0,0,1,-1,15,11,17,19,124,0,-43,-78,-4,-11,0,0,128,165,162,123,1,0,-18,0,19,0,13,13,2,0,0,0,0,0,0,0,-81,-131,-88,-132,0,0,41,35,0,0,119,121,-13,30,2,2
21,Qg3,rnb1k2r/p4ppp/5n2/1p1qN3/2pP4/4P1Q1/1P1N1PPP/R3KB1R b KQkq - 3 11,238,-238,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,275,-275,259,-259,64,64,124,124,7514,7514,1,1,0,0,0,0,28,28,47,48,76,111,14,11,4,7,13,6,13,16,0,0,2,4,0,0,1,0,2,8,1,0,1,1,0,0,9,10,11,10,5,5,60,55,7477,7477,6,5,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,1,2,81,10,2,0,0,0,25,18,1,1,0,0,-28,28,6,6,124,121,76,111,228,155,8221,8221,246,38,8221,8221,9301,9301,246,38,27,-53,6,7,2,2,0,0,0,0,2,2,0,0,254,254,0,0,5,9,0,0,9,9,0,0,0,2,0,0,8,11,1,1,5,5,56,62,0,0,0,0,0,0,0,0,1,-1,12,11,17,17,0,0,-70,-78,-11,-11,0,0,176,109,177,99,1,0,-18,0,19,0,13,13,2,0,0,0,0,0,0,0,-78,-131,-81,-132,0,0,41,35,0,0,119,121,-13,30,3,3
22,O-O,rnb2rk1/p4ppp/5n2/1p1qN3/2pP4/4P1Q1/1P1N1PPP/R3KB1R w KQ - 4 12,105,-105,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,75,-75,303,-303,64,64,124,124,7514,7514,1,1,0,0,0,3,28,29,47,48,76,112,14,11,4,7,13,7,13,16,0,0,2,4,0,0,1,0,2,8,1,0,1,0,0,0,9,10,11,10,5,5,60,56,7477,7477,6,6,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,2,91,10,2,0,1,0,25,20,19,19,0,0,28,-28,6,6,124,121,76,112,228,171,8221,8221,246,184,8221,8221,9301,9301,246,184,27,-85,6,11,2,2,0,0,0,0,2,2,0,0,254,281,0,0,5,9,0,1,8,9,0,0,0,2,0,0,9,12,1,1,5,5,56,62,0,0,1,0,0,0,0,0,19,-19,13,11,16,17,379,0,-27,-78,12,-11,0,0,114,116,148,106,1,0,-18,0,19,0,13,13,2,0,1,1,0,0,0,0,-62,-88,-81,-155,0,0,41,35,0,0,119,121,-13,30,4,4
23,Be2,rnb2rk1/p4ppp/5n2/1p1qN3/2pP4/4P1Q1/1P1NBPPP/R3K2R b KQ - 5 12,189,-189,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,221,-221,422,-422,64,64,124,124,7514,7514,1,1,0,0,0,3,32,29,47,48,147,112,14,11,7,7,14,7,13,16,0,0,2,4,0,0,1,0,2,8,1,0,1,0,0,0,9,10,11,10,5,5,64,56,7477,7477,6,6,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,2,91,10,2,0,1,0,25,20,19,19,0,0,-28,28,6,6,124,121,147,112,293,171,8221,8221,258,184,8221,8221,9301,9301,258,184,65,-85,6,11,2,2,0,0,0,0,2,2,0,0,254,281,0,0,5,9,0,1,8,9,1,0,0,2,0,0,10,14,1,1,5,5,56,62,0,0,1,0,0,0,0,0,19,-19,14,11,16,17,460,0,-3,-78,17,-11,0,1,181,144,173,120,1,0,-18,0,19,0,13,13,2,0,1,1,0,0,0,0,-62,-88,-81,-155,0,0,41,35,0,0,119,121,-13,30,5,5
24,Bf5,rn3rk1/p4ppp/5n2/1p1qNb2/2pP4/4P1Q1/1P1NBPPP/R3K2R w KQ - 6 13,231,-231,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,214,-214,372,-372,64,64,124,124,7514,7514,1,1,0,0,0,3,32,33,47,48,147,125,14,11,7,11,14,8,13,16,0,0,2,4,0,2,1,0,2,8,1,0,1,0,0,0,9,10,11,10,5,5,64,61,7477,7477,6,6,0,0,2,1,0,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,3,91,62,2,0,1,0,24,20,19,19,0,0,28,-28,6,6,124,121,147,125,293,221,8221,8221,258,217,8221,8221,9301,9301,258,217,65,-48,6,10,2,2,0,0,0,0,2,2,0,0,254,281,0,0,5,9,0,1,8,9,1,0,0,2,0,0,12,15,1,1,5,5,56,62,0,0,1,0,0,0,0,0,19,-19,14,12,15,17,451,0,-5,-70,17,-11,0,1,243,151,226,127,1,0,-18,0,19,0,13,13,2,0,1,1,0,0,0,0,-62,-82,-81,-146,0,0,41,35,0,0,119,121,-13,30,6,6
25,Bf3,rn3rk1/p4ppp/5n2/1p1qNb2/2pP4/4PBQ1/1P1N1PPP/R3K2R b KQ - 7 13,477,-477,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,536,-536,716,-716,64,64,124,124,7514,7514,1,1,0,0,0,3,36,32,47,48,164,124,14,11,10,11,14,8,12,15,0,0,2,4,0,2,0,0,2,8,1,0,1,0,0,0,9,10,11,10,5,5,66,60,7477,7477,6,6,0,0,4,0,9,0,1,0,0,0,0,0,2,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,3,91,62,2,0,1,0,26,16,19,19,0,0,-28,28,6,6,124,121,164,124,324,217,8221,8221,249,217,8221,8221,9301,9301,249,217,62,-48,7,10,2,2,0,0,0,0,2,2,0,0,254,281,1,0,5,8,0,1,8,9,2,0,0,2,0,0,16,17,1,1,5,5,56,62,0,0,1,0,0,0,0,0,19,-19,15,12,15,18,480,0,10,-70,19,-11,1,0,512,151,552,141,1,0,-18,0,19,0,13,13,0,0,1,1,0,0,0,0,-33,-82,-83,-146,0,0,41,35,0,0,119,121,-13,30,7,7
26,Be4,rn3rk1/p4ppp/5n2/1p1qN3/2pPb3/4PBQ1/1P1N1PPP/R3K2R w KQ - 8 14,287,-287,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,282,-282,349,-349,64,64,124,124,7514,7514,1,1,0,0,0,3,32,31,47,48,147,119,14,11,6,11,14,8,12,14,0,0,2,4,0,2,0,1,3,8,1,0,1,0,0,1,9,10,11,10,5,5,62,59,7477,7477,6,6,0,0,3,0,3,3,1,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,2,91,52,2,0,1,0,24,20,19,19,0,0,28,-28,6,6,124,121,147,119,293,209,8221,8221,249,223,8221,8221,9301,9301,249,223,62,-33,7,11,2,2,0,0,0,0,2,2,0,0,254,281,1,0,5,7,0,1,8,9,1,0,0,2,0,0,11,13,1,1,5,5,56,62,0,0,1,0,0,0,0,0,19,-19,15,14,16,17,464,0,6,-54,18,-11,1,0,300,200,233,169,1,0,-18,0,19,0,13,13,0,1,1,1,0,0,0,0,-36,-130,-90,-172,0,0,41,35,0,0,119,121,-13,30,8,8
27,Nxe4,rn3rk1/p4ppp/5n2/1p1qN3/2pPN3/4PBQ1/1P3PPP/R3K2R b KQ - 0 14,1355,-1355,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,1393,-1393,1300,-1300,64,64,115,115,7425,6065,1,0,0,0,0,3,33,23,47,48,157,56,16,11,6,0,14,8,12,14,0,0,2,4,2,0,0,0,3,0,1,0,1,0,0,1,9,10,11,10,5,5,64,48,7477,6652,6,6,0,0,2,1,2,2,1,0,0,1,0,0,0,0,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,2,0,0,0,1,1,3,1,172,0,2,0,1,0,27,17,19,19,1,0,-28,28,6,6,124,121,157,56,299,144,8221,7396,313,192,8221,7396,9301,8386,313,192,82,-48,9,7,2,2,85,-85,0,0,2,2,0,0,254,281,1,0,5,7,0,1,8,9,0,0,1,2,1,0,9,14,2,1,5,5,56,50,0,0,1,0,0,0,0,0,19,-19,16,9,15,17,1035,0,223,-94,53,-11,0,0,139,256,161,197,1,0,-18,0,19,0,13,12,0,0,1,1,0,0,0,0,-21,-96,-86,-78,0,0,41,35,0,0,119,121,-13,30,0,0
28,Nxe4,rn3rk1/p4ppp/8/1p1qN3/2pPn3/4PBQ1/1P3PPP/R3K2R w KQ - 0 15,207,-207,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,191,-191,126,-126,64,64,106,106,5488,6059,1,0,0,0,0,3,28,23,47,48,144,56,8,11,6,0,14,8,12,14,0,0,2,4,0,0,0,1,3,0,1,0,1,0,0,1,8,10,11,10,5,5,56,48,6696,6652,6,6,0,0,3,0,2,5,1,0,0,0,0,0,0,1,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,2,91,81,2,2,1,1,23,20,19,19,0,0,28,-28,6,6,124,121,144,56,288,144,7440,7396,264,237,7440,7396,8447,8386,264,237,54,-1,6,9,1,2,-35,35,0,0,2,2,0,0,254,281,1,0,5,7,0,1,8,9,0,0,0,0,0,0,11,13,0,0,5,5,40,50,0,0,1,0,0,0,0,0,19,-19,14,11,14,17,621,287,40,-58,27,6,1,0,151,218,164,291,1,0,-18,0,19,0,12,12,0,0,1,1,0,0,0,0,-28,-94,-81,-93,0,0,41,35,0,0,119,121,-13,30,0,0
29,Qf4,rn3rk1/p4ppp/8/1p1qN3/2pPnQ2/4PB2/1P3PPP/R3K2R b KQ - 1 15,217,-217,1,0,4,4,288,288,288,288,3,3,2,1,1,0,0,0,5,4,240,-240,292,-292,64,64,106,106,5488,6059,1,0,0,0,0,0,29,23,47,48,159,56,8,11,6,0,14,8,13,14,0,0,2,4,0,0,0,1,3,0,1,0,1,0,1,1,8,10,11,10,5,5,57,48,6696,6652,6,6,0,0,3,1,3,1,1,0,1,0,0,0,0,2,1,0,2,0,0,0,3,0,3,0,0,0,-1680,-2238,2408,2579,222,222,56,56,1,1,1,0,0,0,1,1,2,2,91,81,2,2,0,2,23,21,19,19,0,0,-28,28,6,6,124,121,159,56,306,144,7440,7396,267,237,7440,7396,8447,8386,267,237,85,-1,6,9,1,2,-35,35,0,0,2,2,0,0,254,281,1,0,6,7,0,0,8,9,1,0,0,0,0,0,11,14,0,0,5,5,40,50,0,0,0,0,0,1,0,0,19,-19,16,11,14,18,376,453,-4,-28,12,17,2,0,299,199,250,208,1,0,-18,0,19,0,12,12,0,0,1,1,0,0,0,0,-84,-88,-96,-82,0,0,41,35,0,0,119,121,-13,30,1,1
